Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,floor_number,total_floor,Area Locality Encoded
2022-07-06,2,170000,1300,5 out of 8,1,Bandra West,5,1,1,3,0,5.0,8.0,225
2022-05-13,0,29999,433,8 out of 20,1,"Altavista, Sion Trombay Road",5,1,1,2,0,8.0,20.0,79
2022-05-14,1,42000,650,8 out of 15,1,Kings Circle,5,0,0,2,0,8.0,15.0,1005
2022-07-09,2,330000,1650,8 out of 27,1,buena vista,5,0,0,4,0,8.0,27.0,2167
2022-04-29,1,24000,600,1 out of 5,2,Mulund West,5,1,1,1,2,1.0,5.0,1297
2022-05-05,1,35000,850,3 out of 6,2,Malad West,5,1,2,2,2,3.0,6.0,1182
2022-07-07,0,14000,305,6 out of 24,1,Kandivali West,5,2,0,1,0,6.0,24.0,947
2022-06-12,1,45000,490,2 out of 3,1,Gandhi Market,5,0,1,2,0,2.0,3.0,598
2022-05-24,1,36000,690,4 out of 8,1,Mulund West,5,1,0,2,0,4.0,8.0,1297
2022-05-31,1,53500,635,17 out of 20,1,"Nahar Jonquille and Jamaica, Chandivali",5,2,1,2,0,17.0,20.0,1327
2022-07-07,2,80000,1100,18 out of 22,1,"Nahar Amrit Shakti powai, Chandivali",5,0,1,2,0,18.0,22.0,1326
2022-06-27,0,7500,250,1 out of 7,2,Chinmay Gaurang Infrastructure Old Panvel,5,2,1,1,2,1.0,7.0,406
2022-06-23,2,140000,1200,9 out of 30,1,Worli Sea Face,5,0,1,3,0,9.0,30.0,2148
2022-06-23,1,95000,750,2 out of 7,1,"Queens Palace, Bandra West",5,2,0,2,0,2.0,7.0,1586
2022-06-06,2,130000,1100,3 out of 8,1,Khar West,5,0,1,3,0,3.0,8.0,1000
2022-06-01,1,45000,700,4 out of 7,1,"Bindra Complex , Andheri East",5,1,1,2,0,4.0,7.0,311
2022-06-23,1,110000,1150,11 out of 26,1,"Ivory Tower, Prabhadevi",5,2,1,2,0,11.0,26.0,808
2022-06-28,2,120000,1379,17 out of 27,1,Parmanand Wadi,5,2,1,3,0,17.0,27.0,1496
2022-06-23,0,60000,500,9 out of 10,1,"Vaibhav Apartments, Dadar West",5,0,1,1,0,9.0,10.0,2049
2022-06-26,2,120000,1400,10 out of 32,2,"Avarsekar Heights, Worli",5,2,1,3,0,10.0,32.0,166
2022-06-30,0,40000,390,4 out of 12,1,Parel,5,2,1,1,0,4.0,12.0,1492
2022-06-04,1,50000,935,2 out of 6,2,Andheri West,5,0,1,2,2,2.0,6.0,115
2022-05-27,1,36000,535,12 out of 16,1,Ghatkopar West,5,2,1,2,0,12.0,16.0,629
2022-06-10,2,150000,1250,6 out of 12,1,Bandra West,5,1,1,3,0,6.0,12.0,225
2022-06-12,3,230000,3700,5 out of 20,1,"Lake Superior, Powai",5,0,1,4,0,5.0,20.0,1088
2022-06-28,0,25000,350,10 out of 24,1,Lower Parel,5,2,0,2,0,10.0,24.0,1133
2022-05-27,2,190000,1350,65 out of 76,1,"Lodha Marquise, Worli",5,1,2,4,0,65.0,76.0,1118
2022-04-27,2,61000,1550,5 out of 20,1,"Lovedale Residences, Malad West",5,1,1,3,2,5.0,20.0,1132
2022-06-27,2,70000,1100,7 out of 10,1,"Kohinoor City Phase II, Holly Cross Church Chowk",5,0,1,3,0,7.0,10.0,1020
2022-06-16,2,42000,950,5 out of 7,1,Mulund East,5,2,1,3,0,5.0,7.0,1295
2022-06-10,0,27000,400,1 out of 7,1,Govandi Station Road,5,2,1,1,0,1.0,7.0,655
2022-06-23,1,60000,700,3 out of 4,1,Irla,5,0,0,2,0,3.0,4.0,798
2022-05-23,2,85000,850,3 out of 4,2,Sion East,5,0,1,2,2,3.0,4.0,1869
2022-06-30,1,75000,900,7 out of 9,1,"Marine Palace, Marine Lines",5,0,1,2,0,7.0,9.0,1229
2022-05-14,2,200000,1208,5 out of 14,1,Khar West,5,2,0,3,0,5.0,14.0,1000
2022-07-09,2,170000,1150,8 out of 12,1,Bandra West,5,1,1,3,0,8.0,12.0,225
2022-06-15,2,180000,1600,17 out of 60,1,"Island City Centre, Dadar TT Circle",5,1,1,4,0,17.0,60.0,803
2022-07-06,1,55000,700,10 out of 11,1,"Shiv Bhagtani Manor 3A, Powai",5,0,1,2,0,10.0,11.0,1841
2022-06-13,4,600000,3200,10 out of 16,1,Bandra East,5,1,1,5,0,10.0,16.0,224
2022-05-23,0,18000,330,20 out of 22,2,Antop Hill,5,2,1,1,2,20.0,22.0,128
2022-06-04,0,19000,225,18 out of 25,2,Worli,5,2,1,1,2,18.0,25.0,2147
2022-06-23,2,150000,1050,5 out of 7,1,JVPD Scheme,5,0,1,3,0,5.0,7.0,815
2022-05-19,0,18500,225,4 out of 7,1,Lower Parel,5,1,0,1,0,4.0,7.0,1133
2022-07-07,0,35000,463,5 out of 7,1,Rambaug,5,0,1,2,0,5.0,7.0,1651
2022-07-06,3,200000,1900,5 out of 11,1,"Dheeraj Insignia Apartment, Bandra Kurla Complex",5,0,1,3,0,5.0,11.0,488
2022-05-27,1,150000,1500,15 out of 17,2,Agripada,5,0,1,4,2,15.0,17.0,47
2022-05-27,1,70000,1000,15 out of 23,1,"Lake Primrose, Chandivali",5,1,1,2,0,15.0,23.0,1086
2022-06-27,0,35000,450,6 out of 10,1,Borivali West,5,1,0,2,0,6.0,10.0,329
2022-06-20,1,45000,700,5 out of 17,1,Goregaon West,5,2,0,2,2,5.0,17.0,651
2022-06-23,0,30000,355,2 out of 7,1,Chembur East,5,2,1,1,2,2.0,7.0,389
2022-06-23,2,50000,1325,3 out of 28,1,"Challenger Tower, Thakur Village, Kandivali East",5,0,1,3,0,3.0,28.0,366
2022-04-29,1,50000,950,4 out of 8,2,Ghatkopar East,5,0,1,2,2,4.0,8.0,628
2022-06-04,0,42000,600,5 out of 24,2,"Universal Neo Galaxy, Bhuleshwar",5,1,1,1,2,5.0,24.0,2031
2022-05-30,1,19500,905,16 out of 32,1,Navi Mumbai-Khargar-Panvel,5,1,1,2,2,16.0,32.0,1361
2022-06-30,2,90000,1500,6 out of 10,1,Walkeshwar,5,0,1,3,0,6.0,10.0,2136
2022-06-30,0,60000,455,18 out of 22,1,"Sugee Sadan, Dadar West",5,2,1,1,0,18.0,22.0,1918
2022-06-20,1,55000,850,3 out of 3,1,Mahim West,5,1,0,2,0,3.0,3.0,1171
2022-06-26,2,40000,1100,21 out of 22,2,"Hudco Living Point, Bhandup West",5,2,2,2,2,21.0,22.0,765
2022-06-12,0,40000,430,4 out of 8,1,"Sion East, Sion",5,2,1,2,0,4.0,8.0,1870
2022-07-07,1,36000,650,10 out of 12,1,"Keshav Srishti, Bhandup West",5,1,1,2,0,10.0,12.0,990
2022-07-09,1,45000,795,7 out of 13,1,"Runwal Elina, Andheri East",5,2,1,2,0,7.0,13.0,1711
2022-05-20,1,100000,800,9 out of 12,1,Bandra West,5,0,1,2,0,9.0,12.0,225
2022-06-23,0,42000,700,15 out of 32,2,"Llyod Estate, Wadala",5,0,1,1,0,15.0,32.0,1109
2022-07-03,0,45000,450,5 out of 7,1,Lokhandwala Complex,5,0,2,2,0,5.0,7.0,1130
2022-06-12,1,40000,575,4 out of 7,1,"Sunglow, Chandivali",5,1,1,2,0,4.0,7.0,1930
2022-06-12,1,50000,650,Ground out of 3,1,Mahim West,5,0,0,3,0,0.0,3.0,1171
2022-06-24,0,11000,200,4 out of 4,2,Parle Colony,5,0,1,1,2,4.0,4.0,1495
2022-04-29,1,50000,1200,2 out of 4,2,Andheri East,5,1,1,2,2,2.0,4.0,114
2022-05-14,0,34000,656,16 out of 23,2,Chembur,5,2,1,2,2,16.0,23.0,388
2022-07-09,2,93000,1600,18 out of 27,1,"Godrej Platinum, Vikhroli East",5,1,2,3,0,18.0,27.0,635
2022-05-26,2,69999,950,7 out of 12,1,Chembur East,5,2,2,3,0,7.0,12.0,389
2022-06-04,1,48000,719,14 out of 20,1,"Raheja Heights Phase 2, Gokuldham",5,1,2,2,0,14.0,20.0,1613
2022-06-30,2,55000,1100,15 out of 16,1,"Sakhi, Kandivali West",5,2,0,3,0,15.0,16.0,1752
2022-05-18,3,1000000,3064,18 out of 45,1,"Raheja Artesia, Worli",5,1,2,4,0,18.0,45.0,1611
2022-05-19,1,40000,650,15 out of 15,1,"Rustomjee Regency, Gomant Nagar",5,1,1,2,0,15.0,15.0,1718
2022-07-09,2,130000,1450,9 out of 10,1,Santacruz East,5,1,1,5,0,9.0,10.0,1776
2022-06-30,1,75000,720,6 out of 14,1,"Vikas Finalay Apartments, Parel",5,1,1,2,0,6.0,14.0,2093
2022-06-20,1,23000,670,1 out of 20,2,Bhandup West,5,1,1,2,2,1.0,20.0,287
2022-07-09,2,200000,1350,1 out of 5,1,anjali,5,0,0,3,0,1.0,5.0,2164
2022-07-09,2,55000,925,16 out of 36,1,"Runwal Greens, Mulund West",5,2,0,2,0,16.0,36.0,1713
2022-07-09,3,80000,1450,30 out of 44,1,Best Nagar Goregaon West,5,2,1,4,0,30.0,44.0,273
2022-07-06,2,220000,1550,30 out of 37,1,"Hiranandani Gardens Torino, Hiranandani Gardens",5,0,1,3,0,30.0,37.0,733
2022-07-07,0,40000,420,5 out of 7,1,Chembur,5,1,2,2,0,5.0,7.0,388
2022-07-06,1,35000,650,5 out of 8,1,"Riddhi Garden, Film City Road",5,2,1,2,0,5.0,8.0,1677
2022-05-31,1,33003,700,3 out of 7,1,Dahisar West,5,0,2,2,0,3.0,7.0,457
2022-05-19,4,450000,3400,2 out of 5,1,Bandra West,5,1,1,5,0,2.0,5.0,225
2022-07-07,1,65000,935,2 out of 4,2,in Matunga West,5,1,1,2,2,2.0,4.0,2189
2022-05-30,1,45000,980,Ground out of 5,1,"Aditi Apartment, Andheri West",5,1,1,2,2,0.0,5.0,37
2022-05-17,3,280000,2800,2 out of 9,1,JVPD Scheme,5,0,2,4,0,2.0,9.0,815
2022-05-14,1,55000,700,4 out of 6,1,Andheri West,5,0,0,3,0,4.0,6.0,115
2022-05-19,1,56000,720,12 out of 22,1,"Shapoorji Pallonji Vicinia, Chandivali",5,1,1,2,0,12.0,22.0,1831
2022-07-09,1,55000,750,1 out of 7,1,Santacruz East,5,1,0,2,0,1.0,7.0,1776
2022-05-31,1,28000,700,4 out of 12,1,"Usha Nagar Society, Bhandup West",5,0,1,2,0,4.0,12.0,2036
2022-05-31,1,150000,1000,4 out of 9,1,"Smoky Hill Apartment, Bandra West",5,1,1,3,0,4.0,9.0,1883
2022-06-12,4,300000,3000,2 out of 22,1,Chandivali,5,0,1,5,0,2.0,22.0,379
2022-07-02,0,50000,413,5 out of 6,1,Grant Road,5,0,1,1,2,5.0,6.0,658
2022-05-22,3,180000,1755,6 out of 18,1,"Godrej The Trees, Vikhroli East",5,1,2,4,0,6.0,18.0,639
2022-05-31,2,190000,1850,35 out of 55,1,"Crescent Bay Callisto, Parel",5,1,0,4,0,35.0,55.0,434
2022-05-06,1,8000,890,4 out of 4,1,new panvel,5,2,1,2,2,4.0,4.0,2205
2022-06-23,2,75000,1200,5 out of 12,1,Chembur,5,1,1,3,0,5.0,12.0,388
2022-06-16,2,83000,1100,9 out of 20,1,"Raheja Vista, Powai",5,0,0,3,0,9.0,20.0,1618
2022-07-07,0,32000,420,1 out of 3,1,Chembur,5,1,2,2,0,1.0,3.0,388
2022-07-06,1,39000,630,6 out of 7,1,"Yashodham Complex, Goregaon East",5,2,2,2,0,6.0,7.0,2152
2022-06-03,3,150000,1705,16 out of 29,1,"Adani Western Heights, Andheri West",5,1,2,3,0,16.0,29.0,33
2022-06-23,2,190000,1300,1 out of 7,1,"Sunflower Apartment, Bandra West",5,0,0,3,0,1.0,7.0,1929
2022-06-08,2,160000,1355,30 out of 45,1,"Oberoi Exquisite II, Film City Road",5,0,1,3,0,30.0,45.0,1424
2022-06-20,0,25000,450,5 out of 7,1,Goregaon West,5,1,0,2,0,5.0,7.0,651
2022-05-27,2,90000,1350,5 out of 12,1,"Mahindra Vivante, Chakala",5,2,2,3,0,5.0,12.0,1173
2022-05-14,1,95000,825,17 out of 22,1,"lokhandwala residency, Worli",5,0,0,2,0,17.0,22.0,2203
2022-07-04,0,30000,550,2 out of 4,2,"Jumbo Darshan , Andheri East",5,1,1,1,2,2.0,4.0,871
2022-05-25,0,18500,430,5 out of 7,1,"Gokul Accord, Thakur Complex",5,2,2,1,0,5.0,7.0,642
2022-06-16,0,18000,320,5 out of 7,1,"spring grove uno, Lokhandwala Twp",5,0,1,1,0,5.0,7.0,2224
2022-06-23,2,75000,1100,4 out of 12,1,Chembur,5,1,1,3,0,4.0,12.0,388
2022-05-14,3,150000,1460,11 out of 13,1,"Insignia, Bandra East",5,1,1,4,0,11.0,13.0,796
2022-06-12,2,100000,1250,6 out of 18,1,"Panch Ritu, Chandivali",5,0,1,3,0,6.0,18.0,1480
2022-06-28,1,170000,1000,5 out of 9,1,Breach Candy,5,0,1,3,0,5.0,9.0,334
2022-07-07,1,45000,710,8 out of 16,1,Saki Vihar Road,5,2,1,2,0,8.0,16.0,1753
2022-07-09,2,200000,1350,1 out of 5,1,Anand niwas,5,0,0,3,0,1.0,5.0,104
2022-06-23,1,20000,400,3 out of 3,1,Pant Nagar,5,0,1,1,2,3.0,3.0,1489
2022-07-07,2,85000,1000,16 out of 25,1,"DLH Orchid, Andheri West",5,1,1,4,0,16.0,25.0,450
2022-07-06,2,130000,1500,7 out of 12,1,Central Avenue Road,5,2,2,3,0,7.0,12.0,358
2022-07-09,0,40000,500,3 out of 6,2,"7 Bungalow, Seven Bungalows",5,1,1,1,0,3.0,6.0,11
2022-06-30,3,250000,2000,33 out of 42,1,"Imperial Heights, Goregaon West",5,0,0,4,0,33.0,42.0,783
2022-04-29,0,15000,225,Ground out of 4,1,Shrikrupa Society,5,2,0,1,2,0.0,4.0,1854
2022-05-13,1,40000,650,12 out of 19,1,Mulund West,5,0,1,2,0,12.0,19.0,1297
2022-07-06,1,48000,670,4 out of 16,1,"Velentine Tower, Goregaon East",5,1,2,2,2,4.0,16.0,2072
2022-05-31,1,15000,610,Ground out of 6,1,"RNA Broadway Avenue, Mira Road",5,1,0,1,2,0.0,6.0,1592
2022-07-01,0,28000,400,1 out of 5,1,Chakala,5,0,1,2,0,1.0,5.0,364
2022-06-18,0,25000,340,13 out of 23,1,"Mahalaxmi CHS, Worli",5,2,1,1,0,13.0,23.0,1161
2022-05-23,1,34000,471,9 out of 38,1,"Runwal Forests, Kanjurmarg West",5,1,0,2,0,9.0,38.0,1712
2022-06-03,0,75000,550,6 out of 8,1,Carter Road,5,0,1,2,0,6.0,8.0,355
2022-05-19,1,45000,630,8 out of 13,1,"Crescent Solitaire, Sakinaka Junction",5,1,1,1,0,8.0,13.0,436
2022-05-27,0,35000,500,1 out of 8,2,Ghatkopar West,5,1,1,2,2,1.0,8.0,629
2022-07-06,0,32000,400,3 out of 7,1,"Trans Residency, Andheri East",5,0,1,1,0,3.0,7.0,2011
2022-07-04,1,17000,1000,3 out of 7,2,"holy complex ,Mira Road, Mumbai",5,2,1,2,2,3.0,7.0,2177
2022-06-20,3,230000,1528,65 out of 76,1,"Lodha Marquise, Worli",5,2,2,4,0,65.0,76.0,1118
2022-05-17,1,35000,650,5 out of 7,1,"Thakur Village, Kandivali East",5,1,1,2,0,5.0,7.0,1974
2022-05-31,0,8500,500,6 out of 7,1,Thane-Kalyan-Dombivli,5,2,0,1,2,6.0,7.0,1981
2022-05-19,2,80000,850,19 out of 30,1,"Oberoi Splendor, Agarkar Chowk",5,1,1,2,0,19.0,30.0,1427
2022-05-14,0,55000,550,13 out of 14,1,"Paschim Apartments, Prabhadevi",5,1,0,1,0,13.0,14.0,1500
2022-06-12,0,25000,430,7 out of 21,1,"Godrej Tranquil, Kandivali East",5,2,2,2,0,7.0,21.0,640
2022-07-01,2,40000,1030,10 out of 14,1,"Bhairav Residency, Mira Road",5,0,2,3,0,10.0,14.0,279
2022-06-27,0,15500,250,11 out of 24,1,"MHADA Century Mill, Prabhadevi",5,2,1,1,0,11.0,24.0,1137
2022-07-06,0,45000,500,9 out of 16,1,Mahim,5,2,0,2,0,9.0,16.0,1170
2022-07-07,3,180000,1750,9 out of 31,1,Andheri West,5,1,0,4,0,9.0,31.0,115
2022-07-06,1,51000,985,7 out of 15,1,"Chembur Heights, Sindhi Society Chembur",5,2,1,2,0,7.0,15.0,390
2022-06-20,2,60000,1050,12 out of 13,1,"Veena Signature, Borivali West",5,2,0,3,0,12.0,13.0,2069
2022-05-23,1,36000,700,4 out of 15,1,Borivali East,5,2,1,2,0,4.0,15.0,328
2022-06-24,2,180000,1200,10 out of 12,1,Bandra West,5,1,1,3,0,10.0,12.0,225
2022-06-23,2,75000,1000,6 out of 12,1,Chembur,5,0,1,3,0,6.0,12.0,388
2022-06-20,1,8000,550,3 out of 9,1,"Nakoda Heights, Nalasopara",5,2,2,2,0,3.0,9.0,1332
2022-05-10,2,50000,806,2 out of 4,2,Wadala,5,1,1,2,2,2.0,4.0,2133
2022-07-09,2,100000,1400,22 out of 30,1,"Hiranandani Verona Co op Housing Society Ltd, Powai",5,0,1,3,0,22.0,30.0,736
2022-07-07,0,16500,470,11 out of 14,1,"Kanungos Garden City, Mira Road East",5,1,2,2,0,11.0,14.0,952
2022-05-31,0,4500,475,3 out of 4,2,Nalasopara West,5,2,1,1,2,3.0,4.0,1336
2022-07-07,1,34000,583,10 out of 23,1,"Oasis, Akurli Nagar",5,2,2,2,0,10.0,23.0,1421
2022-06-16,1,32000,475,8 out of 12,1,Goregaon West,5,2,0,2,0,8.0,12.0,651
2022-05-12,1,50000,900,1 out of 8,1,Yashodham,5,0,2,2,0,1.0,8.0,2151
2022-07-07,0,24000,500,3 out of 7,1,Dattani Park,5,1,1,1,2,3.0,7.0,467
2022-07-06,1,62000,806,3 out of 58,1,"Auris Serenity, Malad West",5,2,1,3,0,3.0,58.0,164
2022-07-07,0,100000,400,9 out of 10,1,"Violette Valley, Bandra West",5,0,1,1,0,9.0,10.0,2113
2022-04-29,0,21000,650,6 out of 10,2,Bhandup West,5,1,1,2,2,6.0,10.0,287
2022-04-29,0,27000,550,4 out of 15,2,"Raj Hill, Borivali East",5,1,1,2,2,4.0,15.0,1622
2022-06-30,0,10000,390,3 out of 4,1,Mira Road East,5,2,1,1,0,3.0,4.0,1268
2022-06-30,1,90000,994,2 out of 2,1,"Ajmera Treon, Bhakti Park",5,1,1,2,0,2.0,2.0,56
2022-05-31,0,8000,520,6 out of 8,2,Virar West,5,1,1,2,2,6.0,8.0,2116
2022-06-15,0,75000,575,1 out of 9,1,Malabar Hill,5,1,2,1,0,1.0,9.0,1180
2022-07-09,2,230000,2750,53 out of 60,1,"Lodha World Crest, Lower Parel",5,2,1,3,0,53.0,60.0,1127
2022-06-13,0,15000,470,5 out of 22,1,"Man Opus, Mira Road East",5,1,2,2,0,5.0,22.0,1199
2022-07-06,3,260000,2500,3 out of 7,1,Khar West,5,1,1,4,0,3.0,7.0,1000
2022-07-09,2,62000,1100,15 out of 22,1,"Lake Homes, Powai",5,1,2,3,0,15.0,22.0,1085
2022-06-27,0,43500,480,6 out of 7,1,Yari Road,5,0,1,2,0,6.0,7.0,2150
2022-05-27,1,62000,750,12 out of 16,1,"Cosmopolis Tower, Andheri West",5,2,1,2,0,12.0,16.0,432
2022-05-27,3,400000,2424,5 out of 14,1,"Rustomjee Elements, Andheri West",5,1,1,5,0,5.0,14.0,1717
2022-07-06,1,77500,724,19 out of 21,1,"Sethia Grandeur, Bandra East",5,1,0,2,0,19.0,21.0,1814
2022-05-19,0,30000,600,5 out of 5,1,Mulund Railway Station,5,0,1,1,2,5.0,5.0,1296
2022-06-23,2,110000,1076,9 out of 40,1,"Lodha New Cuffe Parade, Wadala East",5,1,1,2,0,9.0,40.0,1123
2022-04-29,0,20000,800,3 out of 4,2,in Byculla,5,2,1,2,2,3.0,4.0,2184
2022-07-06,2,150000,1300,6 out of 7,1,Seven Bungalows,5,1,1,3,0,6.0,7.0,1816
2022-07-04,0,55000,500,1 out of 7,1,Bandra West,5,2,1,2,0,1.0,7.0,225
2022-06-22,1,70000,700,Ground out of 8,1,Santacruz West,5,1,0,2,0,0.0,8.0,1777
2022-05-23,1,65000,700,4 out of 9,1,Kamla Nagar,5,0,0,2,0,4.0,9.0,930
2022-07-09,2,310000,2170,44 out of 75,1,"Omkar 1973, Worli",5,1,1,4,0,44.0,75.0,1443
2022-06-17,0,18000,225,18 out of 24,1,Worli,5,2,0,2,0,18.0,24.0,2147
2022-06-23,0,48000,485,8 out of 17,1,"Kanakia Sevens, Andheri East",5,0,1,2,0,8.0,17.0,941
2022-04-29,0,10000,225,7 out of 8,2,Kanjurmarg East,5,2,1,1,2,7.0,8.0,948
2022-06-16,0,32000,478,4 out of 11,1,"Blue Monarch, Marol",5,1,1,2,0,4.0,11.0,315
2022-05-10,2,32000,1200,4 out of 5,2,"Ishwardas Bhuvan CHS, Kandivali East",5,1,1,3,2,4.0,5.0,801
2022-07-07,1,36000,620,3 out of 14,1,Datta Pada,5,1,2,2,0,3.0,14.0,466
2022-06-08,0,22000,280,3 out of 7,1,"Suryodaya CHS, Prabhadevi",5,2,1,1,0,3.0,7.0,1941
2022-06-20,0,5500,385,3 out of 9,1,"Manibhadra Avenue, Morya Nagar",5,2,2,1,0,3.0,9.0,1211
2022-05-25,2,15000,704,5 out of 17,1,Thane-Kalyan-Dombivli,5,2,1,2,2,5.0,17.0,1981
2022-04-29,1,40000,710,3 out of 4,1,Anushakti Nagar,5,2,1,2,2,3.0,4.0,131
2022-04-29,0,28000,525,2 out of 8,2,"Balkrishna, Goregaon East",5,2,1,1,2,2.0,8.0,211
2022-06-30,0,11000,390,Ground out of 4,1,Mira Road East,5,1,1,1,0,0.0,4.0,1268
2022-07-06,1,40000,755,12 out of 31,1,"Omkar Ananta, Goregaon East",5,1,0,2,0,12.0,31.0,1446
2022-05-27,1,45000,700,3 out of 7,1,Oshiwara,5,2,1,2,0,3.0,7.0,1455
2022-06-10,1,180000,1000,6 out of 10,1,Bandra West,5,1,0,3,0,6.0,10.0,225
2022-06-24,2,160000,2000,Upper Basement out of 30,1,"Flora Heights, Andheri West",5,0,2,3,0,0.0,30.0,582
2022-07-01,1,36000,650,3 out of 4,1,Tata Nagar,5,2,2,2,0,3.0,4.0,1966
2022-06-30,0,59000,470,26 out of 42,1,"Lodha New Cuffe Parade, Bhakti Park",5,1,0,1,0,26.0,42.0,1121
2022-06-30,0,40000,450,3 out of 8,1,"TATA Housing Merwanjee Cama Park, Andheri West",5,1,1,2,0,3.0,8.0,1949
2022-05-10,1,40000,625,6 out of 10,2,Goregaon West,5,1,1,2,2,6.0,10.0,651
2022-05-23,1,72000,700,3 out of 9,1,Gulmohar Road,5,0,0,2,0,3.0,9.0,674
2022-07-07,1,40000,600,4 out of 10,1,"Mindspace, Mindspace",5,2,2,2,0,4.0,10.0,1265
2022-06-11,1,16000,600,2 out of 3,1,Nerul sector-3,5,2,2,1,2,2.0,3.0,1376
2022-06-27,1,50000,1100,14 out of 22,2,"Magnum Tower CHS, Lokhandwala Complex",5,0,1,4,0,14.0,22.0,1158
2022-05-27,0,24000,370,5 out of 8,1,"Kanakia Sanskruti, Thakur Complex",5,1,2,1,0,5.0,8.0,940
2022-07-09,1,65000,950,2 out of 45,1,"DB Woods, Gokuldham",5,1,1,2,0,2.0,45.0,441
2022-07-07,1,33000,825,12 out of 13,2,Mulund East,5,2,1,2,2,12.0,13.0,1295
2022-06-16,1,27000,650,2 out of 7,1,Kandivali West,5,2,0,2,0,2.0,7.0,947
2022-06-14,1,52000,750,2 out of 9,1,Oshiwara,5,1,1,2,0,2.0,9.0,1455
2022-06-29,2,95000,900,4 out of 9,1,"Dosti Flamingo, Sewri",5,1,2,3,0,4.0,9.0,514
2022-07-06,1,68000,805,12 out of 68,1,"Auris Serenity, Kanch Pada",5,1,1,3,0,12.0,68.0,162
2022-07-09,1,48000,742,17 out of 36,1,"Runwal Forests, Kanjurmarg West",5,2,2,2,0,17.0,36.0,1712
2022-06-30,1,32000,550,4 out of 7,1,"Shiv Ganga Apartment, Malad West",5,1,1,2,0,4.0,7.0,1843
2022-06-13,1,42000,745,10 out of 11,1,"Akruti Orchid Park, Sakinaka Junction",5,1,1,2,0,10.0,11.0,61
2022-05-31,1,60000,800,2 out of 7,1,"Kenmore Apartment, Lokhandwala Complex",5,0,2,2,0,2.0,7.0,986
2022-06-12,2,51500,1265,10 out of 28,1,"Ambrosia Apartment, Borivali East",5,2,2,3,0,10.0,28.0,93
2022-07-09,2,130000,1800,10 out of 16,2,Lokhandwala Complex,5,2,1,3,0,10.0,16.0,1130
2022-06-27,0,25000,325,17 out of 24,1,"Mahalaxmi CHS, Worli",5,0,1,1,0,17.0,24.0,1161
2022-07-09,1,85000,902,41 out of 41,1,"Lodha Fiorenza, Goregaon East",5,1,1,2,0,41.0,41.0,1116
2022-07-06,2,98000,1233,14 out of 68,1,"Auris Serenity, Kanch Pada",5,1,1,4,0,14.0,68.0,162
2022-06-12,1,100000,750,Ground out of 6,2,Peddar Road,5,0,1,2,2,0.0,6.0,1514
2022-05-21,1,65000,600,14 out of 17,1,"Platinum Prive, Andheri West",5,2,0,2,0,14.0,17.0,1531
2022-06-24,0,23000,500,3 out of 9,2,Chembur,5,2,1,1,0,3.0,9.0,388
2022-07-02,1,40000,600,15 out of 20,1,Tilak Nagar - Harbour Line,5,2,1,2,0,15.0,20.0,1999
2022-06-23,2,45000,950,15 out of 17,1,IC Colony,5,2,1,3,0,15.0,17.0,777
2022-06-27,0,40000,680,5 out of 7,2,"Ballerina Apartment, Lokhandwala Complex",5,0,1,4,0,5.0,7.0,212
2022-07-07,0,23500,400,1 out of 7,1,"Midas Enclave CHS , Nandiadwala Colony",5,2,1,1,0,1.0,7.0,1262
2022-07-07,3,250000,2120,46 out of 76,1,"Lodha Marquise, Worli Sea Face",5,0,1,5,0,46.0,76.0,1119
2022-07-01,2,110000,1350,12 out of 20,1,"Atur Park, Chembur",5,1,0,4,0,12.0,20.0,160
2022-06-20,2,150000,1600,6 out of 7,1,JVPD Scheme,5,1,1,3,0,6.0,7.0,815
2022-06-03,0,22000,430,4 out of 6,1,Thakur Complex,5,2,2,1,0,4.0,6.0,1972
2022-07-09,3,150000,1937,20 out of 30,1,"Raj Grandeur, Powai",5,1,1,5,0,20.0,30.0,1621
2022-06-07,1,75000,700,4 out of 7,1,Santacruz West,5,1,0,3,0,4.0,7.0,1777
2022-05-22,1,41000,780,14 out of 18,1,"Nirmal Lifestyle, LBS Marg",5,2,1,2,0,14.0,18.0,1408
2022-06-02,3,150000,1300,5 out of 13,1,"Kabra Centroid, Kalina",5,1,1,4,0,5.0,13.0,887
2022-06-20,2,150000,1350,18 out of 32,1,"Transcon Triumph, Lokhandwala Complex",5,1,1,3,0,18.0,32.0,2012
2022-05-14,1,53000,750,5 out of 18,1,Chembur,5,0,1,2,0,5.0,18.0,388
2022-05-31,3,140000,1400,10 out of 25,1,"Adani Western Heights, Andheri West",5,1,1,3,0,10.0,25.0,33
2022-06-28,3,200000,2000,17 out of 29,1,"Raj Grandeur, Hiranandani Gardens",5,0,1,5,0,17.0,29.0,1620
2022-06-30,1,65000,850,10 out of 31,1,"Vishnu Shivam Tower, Thakur Village, Kandivali East",5,0,1,2,0,10.0,31.0,2120
2022-05-23,0,48000,500,4 out of 9,1,Gulmohar Road,5,0,0,1,0,4.0,9.0,674
2022-07-09,1,75000,900,10 out of 15,2,"7 Bungalow, Seven Bungalows",5,2,1,2,0,10.0,15.0,11
2022-06-23,1,39000,750,1 out of 3,1,"Takshila CHS, Andheri East",5,1,2,2,0,1.0,3.0,1954
